transaction_id,order_number,user_id,created_at,products,product_count
fbd4f4e6-e671-461f-bddf-543eed4232b0,AR-2026-000062,74cf3cda-ef27-41a5-b063-73d412254d32,2026-01-12T04:27:39.519Z,"[""Cellucor CLA 90 Softgels"",""Optimum Nutrition Electrolyte Mix Lemon Lime"",""Optimum Nutrition Micronized Creatine 300 g""]",3
fc74a52d-69f5-4d42-a4e7-36f13743fc1e,AR-2026-000396,c261d931-5b84-4948-a9bd-2e01908c9eb0,2026-01-12T22:46:13.866Z,"[""Harbinger Door Anchor Negro"",""Harbinger Hip Band Verde"",""Harbinger Lifting Chain Collars Negro"",""Harbinger Yoga Block Gris""]",4
eb7cad92-40aa-4593-a1ea-b7d59030dcc3,AR-2026-001273,37d56eca-2351-462b-b03d-06a78bd94883,2026-01-17T01:48:47.872Z,"[""Gymshark Vital Seamless Top Verde"",""YoungLA Essential Sweatpants Gris"",""YoungLA Minimal Sports Bra Lila""]",3
6c3de297-3967-43ff-ab19-fb23ffca6484,AR-2026-000175,19e2d47a-a423-4f0c-8d3a-cac5507c8cf4,2026-01-21T09:35:11.985Z,"[""Cellucor Hydration Stick Lemon 20 sobres"",""MuscleTech EAA Hydration Blue Raspberry"",""Optimum Nutrition Amino Energy Watermelon 270 g"",""Optimum Nutrition Electrolyte Mix Lemon Lime""]",4
93c73c95-3962-45a2-a146-b1b6ddfdec02,AR-2026-000360,cd9ca581-a0c2-48f8-985d-c4e340b25331,2026-01-21T16:05:19.716Z,"[""Harbinger Door Anchor Negro"",""Harbinger Massage Roller Negro"",""Harbinger Resistance Band Light Amarillo"",""Harbinger Wrist Roller Kit Negro""]",4
1fe1e99f-dd5f-45d1-acbc-34c601ee4c8f,AR-2026-001980,74cf3cda-ef27-41a5-b063-73d412254d32,2026-01-22T09:36:33.590Z,"[""Harbinger Ankle Cuff Pair Negro"",""Harbinger Core Stability Ball Gris"",""Harbinger Hand Grip Trainer Negro""]",3
895b8623-d849-4588-8087-f126d20c8eb4,AR-2026-001394,ee48a62f-168b-4db6-8b23-3beb44eaa339,2026-01-22T18:43:05.931Z,"[""MuscleTech Glutamine Plus 300 g"",""Optimum Nutrition Glutamine Powder 300 g""]",2
7b479a4f-cbbf-44ba-8c85-780007e50cf9,AR-2026-000929,8c6eb69c-b364-4dc9-a9bf-74e0210514c5,2026-01-22T22:53:26.519Z,"[""Creatina Monohidratada 300 g"",""Harbinger Stainless Shaker 750 ml Plateado"",""MuscleTech NitroTech Vanilla 4 lb""]",3
04904983-ac69-4304-9a7c-a601323ccdae,AR-2026-000254,5a2d3995-d426-4c33-9e3c-5a20f5414894,2026-01-23T23:24:25.740Z,"[""Adidas Techfit Compression Shirt Blanco"",""Adidas Train Essentials Shorts Azul"",""Harbinger Stainless Shaker 750 ml Plateado""]",3
4af4d051-610a-4ab6-866d-3968fa173778,AR-2026-000090,00b7568e-5c56-462c-97e4-f74c70764baa,2026-01-24T00:03:24.256Z,"[""Cellucor BCAA Sport Watermelon 270 g"",""Cellucor Hydration Stick Lemon 20 sobres"",""Optimum Nutrition Amino Energy Blue Raspberry 270 g""]",3
5074baed-501a-4c88-9860-994e8e3c88f8,AR-2026-001908,00b7568e-5c56-462c-97e4-f74c70764baa,2026-01-26T12:05:22.907Z,"[""Gymshark Apex Training Tee Negro"",""Gymshark Sport Jogger Gris Oxford""]",2
9878df2f-5a90-4b6f-b323-7c6aff5e9ac8,AR-2026-001948,0c26c307-2441-482c-8e60-8a3e3c1de442,2026-01-28T10:40:12.052Z,"[""Cellucor C4 Energy Drink Pack 12 piezas"",""Optimum Nutrition Serious Mass Chocolate 6 lb""]",2
7b4d80a6-e7f7-45cf-a010-83fd9574506b,AR-2026-001929,5f413623-1d15-4455-8b5f-545152794fb6,2026-01-29T00:12:03.766Z,"[""MuscleTech 100 Percent Whey Chocolate 5 lb"",""Optimum Nutrition Plant Protein Vanilla 1.5 lb""]",2
55388fe7-e0d4-4167-9219-4b6a6c7c9b12,AR-2026-000177,00b7568e-5c56-462c-97e4-f74c70764baa,2026-01-29T02:46:41.860Z,"[""Harbinger Shaker Bottle 700 ml Negro"",""MuscleTech 100 Percent Whey Chocolate 5 lb"",""Optimum Nutrition Micronized Creatine 300 g""]",3
0454b97d-e974-4d4a-b3aa-584ce37e972a,AR-2026-001536,f3c6804c-484a-440f-9af1-d5b425dbb2c0,2026-01-29T05:47:19.460Z,"[""MuscleTech NitroTech Chocolate 4 lb"",""Optimum Nutrition Hydrowhey Turbo Chocolate 1.6 lb"",""Optimum Nutrition Micronized Creatine 300 g"",""Optimum Nutrition Whey Gold Vanilla Ice Cream 2 lb""]",4
58c482f5-256e-42bd-873e-ad23ff7139d5,AR-2026-000722,71ca42cd-5f2e-44e0-8601-1b5e2b82d112,2026-01-30T14:22:44.411Z,"[""Adidas Yoga Studio Tee Blanco"",""Gymshark Arrival Shorts Negro""]",2
72ffac4d-2d65-4666-b335-b546467682b1,AR-2026-001068,5dcf2f7f-6082-46bd-9f14-5913bd360f16,2026-01-30T15:00:17.308Z,"[""Harbinger Gym Towel Negro"",""Harbinger Speed Rope Negro""]",2
263656c8-6cdd-40c4-bcd5-5fad896cad8b,AR-2026-001107,ee48a62f-168b-4db6-8b23-3beb44eaa339,2026-01-31T09:42:31.964Z,"[""Adidas Train Essentials Shorts Azul"",""Adidas Training Long Sleeve Verde Olivo"",""YoungLA Pump Cover Tee Blanco""]",3
8c08f138-3b65-47a1-bf51-6e142e7bd802,AR-2026-000925,61169e98-ba99-482e-8e4f-ea1551300afd,2026-02-01T17:58:32.619Z,"[""Adidas Optime Training Leggings Morado"",""Gymshark Mesh Training Tank Rojo""]",2
6bbfa80c-ec4f-4097-905b-85541f6196f9,AR-2026-001808,2b15595d-4799-4aa1-87fd-b00bf499dbb0,2026-02-03T07:56:05.941Z,"[""Adidas Optime Training Leggings Morado"",""Adidas ZNE Sweatshirt Gris"",""Gymshark Adapt Leggings Negro"",""Gymshark Mesh Training Tank Rojo""]",4
379ae07e-06e8-463a-8c1e-54587d185a88,AR-2026-000160,ef635875-8b44-4a01-a46d-051e2e0d13f4,2026-02-04T18:34:32.333Z,"[""Adidas Optime Training Leggings Morado"",""Gymshark Power Sports Bra Rosa"",""YoungLA Varsity Hoodie Verde""]",3
bd429db0-f92b-4c36-a78c-ec2d09fefcf1,AR-2026-001321,0fdd7679-430e-4085-830a-d6e8091c8e73,2026-02-04T23:35:17.431Z,"[""Harbinger Cable Attachment Rope Negro"",""Harbinger Hip Band Verde"",""Harbinger Resistance Band Medium Rojo""]",3
3f1541ff-9eb5-42ff-bfa1-e8c4f2ab0a1e,AR-2026-001541,6ae8486a-d374-4b92-acb4-ec8e30458c66,2026-02-05T11:06:52.702Z,"[""Harbinger Mini Band Set Multicolor""]",1
80cdf4d3-ec93-4b0b-8d7a-19dd2801dae5,AR-2026-001326,9dfab61d-21d9-48af-86c4-7879a4bfcf9b,2026-02-05T13:28:27.484Z,"[""Adidas Optime Training Leggings Morado"",""YoungLA Minimal Sports Bra Lila"",""YoungLA Performance Polo Negro""]",3
4dba4604-9ed3-45f9-b806-d1dfaf2d4032,AR-2026-001603,5dcf2f7f-6082-46bd-9f14-5913bd360f16,2026-02-06T05:49:53.617Z,"[""Cellucor Cor Performance Whey Vanilla"",""MuscleTech Protein Cookie Chocolate Chip"",""Optimum Nutrition Gold Standard Pre Workout Fruit Punch"",""Optimum Nutrition Whey Gold Cookies Cream 5 lb""]",4
55880652-25b5-4ab7-8d7b-0cb870237203,AR-2026-001056,0f83a7d8-7ac6-4b4e-81df-3a8973dd15c0,2026-02-07T02:54:06.081Z,"[""Harbinger Power Lifting Belt Negro"",""Harbinger Pro Wristwrap Gloves Negro""]",2
