transaction_id,order_number,user_id,created_at,product_id,product_name,category,brand,product_type,quantity
fbd4f4e6-e671-461f-bddf-543eed4232b0,AR-2026-000062,74cf3cda-ef27-41a5-b063-73d412254d32,2026-01-12T04:27:39.519Z,183,Cellucor CLA 90 Softgels,Suplementos,Cellucor,Suplementación,1
fbd4f4e6-e671-461f-bddf-543eed4232b0,AR-2026-000062,74cf3cda-ef27-41a5-b063-73d412254d32,2026-01-12T04:27:39.519Z,150,Optimum Nutrition Electrolyte Mix Lemon Lime,Suplementos,Optimum Nutrition,Suplementación,1
fbd4f4e6-e671-461f-bddf-543eed4232b0,AR-2026-000062,74cf3cda-ef27-41a5-b063-73d412254d32,2026-01-12T04:27:39.519Z,138,Optimum Nutrition Micronized Creatine 300 g,Suplementos,Optimum Nutrition,Suplementación,1
fc74a52d-69f5-4d42-a4e7-36f13743fc1e,AR-2026-000396,c261d931-5b84-4948-a9bd-2e01908c9eb0,2026-01-12T22:46:13.866Z,215,Harbinger Door Anchor Negro,Accesorios,Harbinger,Ropa,1
fc74a52d-69f5-4d42-a4e7-36f13743fc1e,AR-2026-000396,c261d931-5b84-4948-a9bd-2e01908c9eb0,2026-01-12T22:46:13.866Z,199,Harbinger Hip Band Verde,Accesorios,Harbinger,Ropa,1
fc74a52d-69f5-4d42-a4e7-36f13743fc1e,AR-2026-000396,c261d931-5b84-4948-a9bd-2e01908c9eb0,2026-01-12T22:46:13.866Z,231,Harbinger Lifting Chain Collars Negro,Accesorios,Harbinger,Ropa,1
fc74a52d-69f5-4d42-a4e7-36f13743fc1e,AR-2026-000396,c261d931-5b84-4948-a9bd-2e01908c9eb0,2026-01-12T22:46:13.866Z,226,Harbinger Yoga Block Gris,Accesorios,Harbinger,Ropa,1
eb7cad92-40aa-4593-a1ea-b7d59030dcc3,AR-2026-001273,37d56eca-2351-462b-b03d-06a78bd94883,2026-01-17T01:48:47.872Z,90,Gymshark Vital Seamless Top Verde,Ropa deportiva,Gymshark,Ropa,1
eb7cad92-40aa-4593-a1ea-b7d59030dcc3,AR-2026-001273,37d56eca-2351-462b-b03d-06a78bd94883,2026-01-17T01:48:47.872Z,116,YoungLA Essential Sweatpants Gris,Ropa deportiva,YoungLA,Ropa,1
eb7cad92-40aa-4593-a1ea-b7d59030dcc3,AR-2026-001273,37d56eca-2351-462b-b03d-06a78bd94883,2026-01-17T01:48:47.872Z,110,YoungLA Minimal Sports Bra Lila,Ropa deportiva,YoungLA,Ropa,1
6c3de297-3967-43ff-ab19-fb23ffca6484,AR-2026-000175,19e2d47a-a423-4f0c-8d3a-cac5507c8cf4,2026-01-21T09:35:11.985Z,181,Cellucor Hydration Stick Lemon 20 sobres,Suplementos,Cellucor,Suplementación,1
6c3de297-3967-43ff-ab19-fb23ffca6484,AR-2026-000175,19e2d47a-a423-4f0c-8d3a-cac5507c8cf4,2026-01-21T09:35:11.985Z,161,MuscleTech EAA Hydration Blue Raspberry,Suplementos,MuscleTech,Suplementación,1
6c3de297-3967-43ff-ab19-fb23ffca6484,AR-2026-000175,19e2d47a-a423-4f0c-8d3a-cac5507c8cf4,2026-01-21T09:35:11.985Z,139,Optimum Nutrition Amino Energy Watermelon 270 g,Suplementos,Optimum Nutrition,Suplementación,1
6c3de297-3967-43ff-ab19-fb23ffca6484,AR-2026-000175,19e2d47a-a423-4f0c-8d3a-cac5507c8cf4,2026-01-21T09:35:11.985Z,150,Optimum Nutrition Electrolyte Mix Lemon Lime,Suplementos,Optimum Nutrition,Suplementación,1
93c73c95-3962-45a2-a146-b1b6ddfdec02,AR-2026-000360,cd9ca581-a0c2-48f8-985d-c4e340b25331,2026-01-21T16:05:19.716Z,215,Harbinger Door Anchor Negro,Accesorios,Harbinger,Ropa,1
93c73c95-3962-45a2-a146-b1b6ddfdec02,AR-2026-000360,cd9ca581-a0c2-48f8-985d-c4e340b25331,2026-01-21T16:05:19.716Z,212,Harbinger Massage Roller Negro,Accesorios,Harbinger,Ropa,1
93c73c95-3962-45a2-a146-b1b6ddfdec02,AR-2026-000360,cd9ca581-a0c2-48f8-985d-c4e340b25331,2026-01-21T16:05:19.716Z,196,Harbinger Resistance Band Light Amarillo,Accesorios,Harbinger,Ropa,1
