userId,subscriptionId,historyId,userCreatedAt,startsAt,endsAt,durationDays,seedName,currentPaymentCreatedAt,currentPaymentPaidAt,endsAtCutoff,latestPreviousOutcomeKnownAt,nextSubscriptionStartsAt,maxPurchaseDateUsed,maxPaymentDateUsed,userTotalDatasetRows,cycleNumber,duplicateFeatureGroupSize,contradictoryDuplicateFeatureGroup,planName,amountPaid,paymentMethod,source,autoRenew,previousSubscriptionsCount,previousRenewalsCount,previousRenewalRate,daysAsCustomer,daysSincePreviousSubscription,changedPlan,previousAmountPaidAvg,amountPaidChange,paidOrdersCount,productsPurchasedCount,totalProductSpend,averageOrderValue,daysSinceLastPurchase,successfulPaymentsCount,failedPaymentsCount,refundedPaymentsCount,renewedNextPeriod
9dfab61d-21d9-48af-86c4-7879a4bfcf9b,53b18876-8e1c-4238-b902-8e61f2fdb9b8,134cba5e-9a02-4433-a3c7-76b6f8464819,2026-01-08T17:10:00.000Z,2026-01-08,2026-02-06,30,renewal-classification-monthly-v2,2026-01-08T12:00:00.000Z,2026-01-08T12:00:00.000Z,2026-02-06T23:59:59.999Z,,2026-03-10,2026-02-05T13:28:27.484Z,2026-01-08T12:00:00.000Z,4,1,1,0,Regular mensual,412.64,card_terminal,admin_manual,0,0,0,0,29,-1,0,0.00,0.00,1,3,2497.00,2497.00,1,1,0,0,0
0c26c307-2441-482c-8e60-8a3e3c1de442,82e53d47-7576-43ef-83c8-e51370a0cc48,19218fd0-1208-4812-890f-9f6013f0fd44,2026-01-08T19:20:00.000Z,2026-01-08,2026-02-06,30,renewal-classification-monthly-v2,2026-01-08T12:00:00.000Z,2026-01-08T12:00:00.000Z,2026-02-06T23:59:59.999Z,,2026-03-10,2026-01-28T10:40:12.052Z,2026-01-08T12:00:00.000Z,4,1,1,0,Regular mensual,401.39,online_checkout,online_checkout,1,0,0,0,29,-1,0,0.00,0.00,1,2,1798.00,1798.00,9,1,0,0,0
f0b9065b-1797-43f8-9162-f0a1c1d2c6ce,e5c98009-fcb8-459d-a8ca-5c412aaff4d0,014ef408-2dd9-4824-a228-6c98933a3377,2026-01-08T15:00:00.000Z,2026-01-08,2026-02-06,30,renewal-classification-monthly-v2,2026-01-08T12:00:00.000Z,2026-01-08T12:00:00.000Z,2026-02-06T23:59:59.999Z,,2026-03-10,,2026-01-08T12:00:00.000Z,3,1,4,0,Regular mensual,440.00,card_terminal,admin_manual,0,0,0,0,29,-1,0,0.00,0.00,0,0,0.00,0.00,-1,1,1,0,0
8169b49a-489b-4fd3-971d-da8c78d0be0a,57e7c12b-e873-43e7-a87e-592bab79163a,09d77122-a47e-4601-83a0-669469f26990,2026-01-09T15:59:00.000Z,2026-01-09,2026-02-07,30,renewal-classification-monthly-v2,2026-01-09T12:00:00.000Z,2026-01-09T12:00:00.000Z,2026-02-07T23:59:59.999Z,,2026-03-14,,2026-01-09T12:00:00.000Z,4,1,2,0,Regular mensual,440.00,card_terminal,admin_manual,1,0,0,0,29,-1,0,0.00,0.00,0,0,0.00,0.00,-1,1,0,0,0
11844694-f428-4250-b034-140498c1f646,58243542-4a88-49b3-99e6-26c77209071e,55c63a23-88c0-43f4-9bd9-22dc3afa30a1,2026-01-09T20:19:00.000Z,2026-01-09,2026-02-07,30,renewal-classification-monthly-v2,2026-01-09T12:00:00.000Z,2026-01-09T12:00:00.000Z,2026-02-07T23:59:59.999Z,,2026-03-10,,2026-01-09T12:00:00.000Z,3,1,12,1,Regular mensual,440.00,online_checkout,online_checkout,0,0,0,0,29,-1,0,0.00,0.00,0,0,0.00,0.00,-1,1,0,0,0
19e2d47a-a423-4f0c-8d3a-cac5507c8cf4,a256ba01-027b-41cd-8850-8d35856097f7,fdc04905-6404-4d7f-80a7-f1bef91b2933,2026-01-09T18:09:00.000Z,2026-01-09,2026-02-07,30,renewal-classification-monthly-v2,2026-01-09T12:00:00.000Z,2026-01-09T12:00:00.000Z,2026-02-07T23:59:59.999Z,,2026-02-09,2026-01-21T09:35:11.985Z,2026-01-09T12:00:00.000Z,5,1,1,0,Estudiante mensual,349.17,card_terminal,admin_manual,0,0,0,0,29,-1,0,0.00,0.00,1,4,2046.00,2046.00,17,1,0,0,1
74cf3cda-ef27-41a5-b063-73d412254d32,51404487-c0de-4cf7-9f3c-80b3f4e92878,b9bd8782-65c5-4753-ba29-e1d6bb6f2518,2026-01-10T19:08:00.000Z,2026-01-10,2026-02-08,30,renewal-classification-monthly-v2,2026-01-10T12:00:00.000Z,2026-01-10T12:00:00.000Z,2026-02-08T23:59:59.999Z,,2026-02-12,2026-01-22T09:36:33.590Z,2026-01-10T12:00:00.000Z,4,1,1,0,Estudiante mensual,347.25,online_checkout,online_checkout,1,0,0,0,29,-1,0,0.00,0.00,2,6,2494.00,1247.00,17,1,0,0,1
c261d931-5b84-4948-a9bd-2e01908c9eb0,5e2f9794-75f8-48ea-a41e-e432afd0f365,134dd5f3-c0eb-4089-bb35-624e33d44457,2026-01-10T21:18:00.000Z,2026-01-10,2026-02-08,30,renewal-classification-monthly-v2,2026-01-10T12:00:00.000Z,2026-01-10T12:00:00.000Z,2026-02-08T23:59:59.999Z,,2026-03-16,2026-01-12T22:46:13.866Z,2026-01-10T12:00:00.000Z,3,1,1,0,Regular mensual,440.00,card_terminal,admin_manual,0,0,0,0,29,-1,0,0.00,0.00,1,4,1346.00,1346.00,27,1,1,0,0
37d56eca-2351-462b-b03d-06a78bd94883,6964f3c5-1ee6-4a98-a30e-b107bccd9c7e,1c21da9d-bc15-4a11-9149-58e29dedab25,2026-01-10T16:58:00.000Z,2026-01-10,2026-02-08,30,renewal-classification-monthly-v2,2026-01-10T12:00:00.000Z,2026-01-10T12:00:00.000Z,2026-02-08T23:59:59.999Z,,2026-03-12,2026-01-17T01:48:47.872Z,2026-01-10T12:00:00.000Z,3,1,1,0,Regular mensual,378.72,cash,admin_manual,1,0,0,0,29,-1,0,0.00,0.00,1,3,2547.00,2547.00,22,1,1,0,0
8c6eb69c-b364-4dc9-a9bf-74e0210514c5,39592962-8907-465f-adc0-49f96442b957,cfd58aa4-63d2-4abe-989f-97c24684bced,2026-01-11T15:47:00.000Z,2026-01-11,2026-02-09,30,renewal-classification-monthly-v2,2026-01-11T12:00:00.000Z,2026-01-11T12:00:00.000Z,2026-02-09T23:59:59.999Z,,2026-03-19,2026-01-22T22:53:26.519Z,2026-01-11T12:00:00.000Z,2,1,1,0,Regular mensual,440.00,transfer,admin_manual,0,0,0,0,29,-1,0,0.00,0.00,1,3,2297.00,2297.00,18,1,0,0,0
