userId,subscriptionId,historyId,predictionDate,startsAt,endsAt,maxPurchaseDateUsed,maxFailedPaymentDateUsed,planType,durationDays,amountPaid,paymentMethod,source,isGroupSubscription,previousSubscriptionsCount,previousRenewalsCount,previousRenewalRate,daysAsCustomer,paidOrdersCount,productsPurchasedCount,totalProductSpend,averageOrderValue,daysSinceLastPurchase,failedPaymentsCount,renewedNextPeriod
9dfab61d-21d9-48af-86c4-7879a4bfcf9b,284fae80-052f-4743-af22-a287078d6578,8a8db6c7-d9bc-4dde-be96-b18de0efe9c0,2025-12-31,2026-01-08,2026-01-14,,,individual,7,213.52,cash,admin_manual,0,0,0,0.000000,0,0,0,0.00,0.00,-1,0,0
0c26c307-2441-482c-8e60-8a3e3c1de442,9ff8ef07-41e4-4da6-9d09-506fa65ff836,c6740b93-8ba7-4e2f-9e2d-683bb3c2ec7d,2026-01-08,2026-01-08,2026-01-22,,2026-01-08T09:00:00.000Z,individual,15,300.00,cash,admin_manual,0,0,0,0.000000,0,0,0,0.00,0.00,-1,1,0
19e2d47a-a423-4f0c-8d3a-cac5507c8cf4,c82ed202-969f-4e23-ae6c-f1d84dc1ee06,7cf2abca-3a45-4df0-857a-b6ebd0b3120f,2026-01-02,2026-01-10,2026-01-16,,,individual,7,225.00,transfer,admin_manual,0,0,0,0.000000,0,0,0,0.00,0.00,-1,0,0
14c42a93-b05d-4603-b1b5-87b9b6c8507f,22fd2926-12a0-4ac9-b02d-f7b341c981d7,32f8cde9-3e4d-4270-898f-6895233382e5,2026-01-05,2026-01-13,2026-01-19,,,individual,7,225.00,online_checkout,online_checkout,0,0,0,0.000000,0,0,0,0.00,0.00,-1,0,0
6ae8486a-d374-4b92-acb4-ec8e30458c66,4c532aef-5dee-4ddb-8f12-8d6142ea08f3,d75e57ae-3d36-4086-a390-90865c1e2e19,2026-01-06,2026-01-14,2026-01-20,,,individual,7,225.00,card_terminal,admin_manual,0,0,0,0.000000,0,0,0,0.00,0.00,-1,0,0
5dcf2f7f-6082-46bd-9f14-5913bd360f16,6d1e766b-7f7c-4737-845d-233071ae50a7,46e54f00-2951-4acb-8b04-84f46109d242,2026-01-06,2026-01-14,2026-01-20,,,individual,7,225.00,online_checkout,online_checkout,0,0,0,0.000000,0,0,0,0.00,0.00,-1,0,0
37d56eca-2351-462b-b03d-06a78bd94883,71bd3a56-8d81-4730-b525-d8968fc953f8,4a04fd83-f1ea-467f-8076-a58942972ad7,2026-01-06,2026-01-14,2026-01-20,,,individual,7,225.00,online_checkout,online_checkout,0,0,0,0.000000,0,0,0,0.00,0.00,-1,0,1
2d81e547-9a29-4b1a-8caf-973649dcc8d9,01fcbd66-1d91-4848-933e-01ab5fc45458,972465c1-24e1-4e0b-988b-0eeaaff51509,2026-01-15,2026-01-15,2026-01-29,,,individual,15,300.00,online_checkout,online_checkout,0,0,0,0.000000,0,0,0,0.00,0.00,-1,0,0
aa01a7ea-d373-485b-bbd3-55737e83eaeb,5a69cc96-f4de-40f9-ac83-6cb718d33314,6593af3a-3d25-4209-94a1-38a720fc8abe,2026-01-16,2026-01-16,2026-01-30,,2026-01-16T09:00:00.000Z,individual,15,300.00,card_terminal,admin_manual,0,0,0,0.000000,0,0,0,0.00,0.00,-1,1,0
f3c6804c-484a-440f-9af1-d5b425dbb2c0,612af777-cef2-4314-ae23-71c3109166f3,4ac5a661-af31-4fa9-9f46-128d1e0163e4,2026-01-10,2026-01-18,2026-01-24,,,individual,7,225.00,cash,admin_manual,0,0,0,0.000000,0,0,0,0.00,0.00,-1,0,0
